X,Y,Half,Player1 Name,Player1 Team,Match Name
-46.62,6.39,0,Pavel POGREBNYAK,Fulham,12.02.25 Queens Park Rangers v Fulham
-33.53,-7.34,0,Clint DEMPSEY,Fulham,12.02.25 Queens Park Rangers v Fulham
37.38,-13.35,0,Jamie MACKIE,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
21.54,-4.03,0,Adel TAARABT,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
26.49,-3.44,0,Adel TAARABT,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
26.25,8.0,0,Shaun WRIGHT-PHILLIPS,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
24.83,-10.52,0,Adel TAARABT,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
-36.81,7.74,0,Danny MURPHY,Fulham,12.02.25 Queens Park Rangers v Fulham
38.22,-2.17,0,Joey BARTON,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
-39.83,12.89,0,Andrew JOHNSON,Fulham,12.02.25 Queens Park Rangers v Fulham
35.28,-15.47,0,Taye TAIWO,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
-28.86,-2.31,1,Adel TAARABT,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
-25.67,5.85,1,Adel TAARABT,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
22.66,3.53,1,Pavel POGREBNYAK,Fulham,12.02.25 Queens Park Rangers v Fulham
-30.08,7.71,1,Joey BARTON,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
37.61,-18.55,1,Clint DEMPSEY,Fulham,12.02.25 Queens Park Rangers v Fulham
-26.91,5.81,1,Taye TAIWO,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
-44.04,-11.02,1,Jamie MACKIE,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
-44.7,8.32,1,Shaun WRIGHT-PHILLIPS,Queens Park Rangers,12.02.25 Queens Park Rangers v Fulham
