,Player Name,Goals,xGoals Shot,DP Passes Made,Cr Crosses Made,CA Regains,HP Regains,BMP+,Possessions,On-pitch xG Generated,ST Involvement,BU Involvement,Ma Involvement,Player Points,Average X,Average Y,Team
47,Richard STEARMAN,0,1.0641280629845966,79.27700000000003,1,14.374163916753007,7.521293749999967,19.18999806,45.36666666666667,32.58350130298576,2.466666666666667,5.0,14.066666666666666,0.013253259541750417,-10.430480940744788,17.39295592708071,Wolverhampton Wanderers
48,Roger JOHNSON,1,2.339858687875899,87.90400000000001,3,14.774348896858411,5.883706250000006,14.601769981,43.74074074074074,34.798668912590095,0.9629629629629629,1.0,13.407407407407407,0.02506714786434816,-18.49711845619141,8.818315210812717,Wolverhampton Wanderers
49,Stephen HUNT,3,4.942859244898767,10.747500000000004,78,3.692041239483653,12.217431249999999,20.440998796,31.291666666666668,18.551357504520134,6.875,6.333333333333333,4.5,0.09787097379594704,12.772225264319957,0.4185940575301285,Wolverhampton Wanderers
50,Stephen WARD,3,2.669134424027655,181.92900000000003,102,20.27256299151653,13.630718749999993,52.833918618000006,71.05263157894737,46.71483062894079,8.368421052631579,12.921052631578947,18.236842105263158,0.05098292253007088,-0.5206753484754011,-23.0422175613078,Wolverhampton Wanderers
51,Steve GOHOURI,0,0.3499177869764143,32.670500000000004,1,3.2890331537896005,1.710675000000019,5.367953037,42.6,9.507905751159706,1.6,3.5,15.7,0.00858796839848592,-13.384603748002004,8.348406728974833,Wigan Athletic
52,Victor MOSES,6,8.711025732890466,22.037000000000006,97,9.85761125332481,12.43614999999999,54.35818726799999,43.26315789473684,43.62487379489101,12.105263157894736,12.552631578947368,4.5,0.26650439143664445,17.642605115263084,-0.12886580985039475,Wigan Athletic
54,Alex OXLADE-CHAMBERLAIN,2,1.3541657128814701,8.983,29,2.242744821633024,3.0012999999999566,13.583454094999999,23.4375,13.610430642805508,4.8125,7.4375,3.0625,0.05847325475243118,14.92693900337477,1.2058211100478504,Arsenal
55,Bacary SAGNA,1,0.270821660990326,27.081000000000003,86,6.84581565925779,8.916800000000029,36.92321732399999,78.38095238095238,31.910425860438384,11.761904761904763,19.80952380952381,23.428571428571427,0.08399147765574067,1.8902697573308669,21.65622339936106,Arsenal
56,Cheik TIOTE,0,1.219016565683604,49.91550000000001,18,12.4032568929603,18.640481250000036,37.041164872,76.375,32.56385102283993,4.666666666666667,15.416666666666666,24.125,0.09604151616583821,-4.651118723076213,0.5634596181180415,Newcastle United
57,Danny GUTHRIE,1,0.436483810823794,36.8415,30,1.0425800328144286,8.66681874999994,20.685965839999998,50.625,14.869418499827717,3.8125,13.125,15.1875,0.10257695761918631,-1.8855590393254436,2.0836998840627206,Newcastle United
58,Danny SIMPSON,0,0.0377258135592422,114.49750000000002,79,13.725452226486553,15.762868750000006,31.778856700000002,52.114285714285714,45.81288229684288,4.685714285714286,7.485714285714286,13.857142857142858,0.0543984788866982,-5.345173938048556,23.031010533672333,Newcastle United
59,Davide SANTON,0,0.2609985088803131,34.48900000000001,23,7.293206221965753,7.58909375000007,21.654922948000003,44.375,21.30341382546768,4.166666666666667,7.166666666666667,12.625,0.06540208058598777,0.3767935260634445,-18.64004361091422,Newcastle United
60,Demba BA,16,16.507612476799682,9.16,14,1.079518821022711,13.761450000000025,29.753033193,36.029411764705884,41.759353550106596,4.911764705882353,6.882352941176471,6.411764705882353,0.3393447496403478,11.814808490457706,-3.367313245733083,Newcastle United
61,Fabricio COLOCCINI,0,2.3493854084648187,130.397,7,17.361963910625587,5.047543749999987,23.723551622,47.4,45.85741177033494,0.9428571428571428,2.2285714285714286,20.6,0.055156230503920566,-19.235692383090758,-9.282241972877499,Newcastle United
62,Gabriel OBERTAN,1,1.4966168549950518,6.467000000000001,49,6.120919148476927,6.011324999999978,23.56386189,33.95652173913044,25.280982950483143,7.608695652173913,8.304347826086957,4.869565217391305,0.08306544817364608,13.272875850837952,14.30061545096593,Newcastle United
63,Hatem BEN ARFA,5,2.3944474425723423,9.1825,54,5.243354786994251,7.32571249999995,29.279230572,34.46153846153846,22.307123762391925,6.0,10.653846153846153,6.8076923076923075,0.15322253303185135,11.93983119183753,10.10924471953216,Newcastle United
64,James PERCH,0,0.0464503076458397,38.076,2,8.605571613978245,4.131931249999966,10.534782418,29.92,18.63420837272567,0.6,2.72,10.68,0.028386679705601315,-13.62214508456461,1.1317610227121846,Newcastle United
65,Jonas GUTIERREZ,2,3.0033696248189097,49.02300000000001,94,11.564100473244054,13.668062499999934,45.568806974,52.67567567567568,48.15276815154263,7.243243243243243,12.891891891891891,11.675675675675675,0.1603218920176892,4.358427941776424,-17.33386895430998,Newcastle United
66,Kieran GIBBS,1,0.70661720202034,30.59,43,11.162115947551374,6.9622062499999275,22.582808676000006,58.5,24.471366219504766,6.75,12.6875,17.0625,0.09306361378931459,2.9051331326412777,-23.48494898361445,Arsenal
67,Mike WILLIAMSON,0,0.5804113359179833,66.074,4,10.084482330873316,3.4822437499999888,12.159314133000002,46.22727272727273,24.215397645672283,1.0454545454545454,1.4545454545454546,20.59090909090909,0.07372190890005513,-18.744877443543174,10.213382266031553,Newcastle United
68,Shola AMEOBI,2,2.6561781468995616,4.9750000000000005,15,1.8718800861317626,2.318500000000001,12.850169801999998,20.48148148148148,13.936332636168341,3.1481481481481484,4.148148148148148,2.4074074074074074,0.08557880575133299,14.935040868626979,5.632237959382725,Newcastle United
70,Tomas ROSICKY,1,3.414836808276027,22.798000000000005,41,12.2791773107697,16.285600000000006,70.81932086500001,54.642857142857146,37.20999435863743,10.535714285714286,22.428571428571427,10.428571428571429,0.15974006388990006,9.947068508285179,-0.29861403090367133,Arsenal
71,Yohan CABAYE,4,3.14393669421255,106.5925,132,14.124665094754347,21.24858125000002,59.775758547999985,59.588235294117645,40.84380840835548,6.147058823529412,10.529411764705882,15.029411764705882,0.1619295432661537,0.044827163221440904,-0.2494245132713065,Newcastle United
